tap_number,date_time,beer,brewer,style,keg_cost,glass_price
2,Fri Jun 08 2012 19:08:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
1,Fri Jun 08 2012 19:09:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
2,Fri Jun 08 2012 23:02:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
1,Fri Jun 08 2012 23:23:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Sat Jun 09 2012 18:41:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Sun Jun 10 2012 22:35:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
2,Mon Jun 11 2012 16:09:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Tue Jun 12 2012 17:32:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
1,Tue Jun 12 2012 20:18:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Wed Jun 13 2012 20:36:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
1,Wed Jun 13 2012 21:18:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
2,Thu Jun 14 2012 14:59:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Thu Jun 14 2012 19:07:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
2,Thu Jun 14 2012 21:02:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
1,Thu Jun 14 2012 21:37:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
2,Fri Jun 15 2012 16:29:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Fri Jun 15 2012 19:09:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
2,Fri Jun 15 2012 20:17:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
1,Fri Jun 15 2012 20:48:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
3,Fri Jun 15 2012 23:33:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
2,Sat Jun 16 2012 12:24:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
1,Sat Jun 16 2012 20:23:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Sun Jun 17 2012 15:28:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
1,Mon Jun 18 2012 19:49:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
2,Mon Jun 18 2012 20:03:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Tue Jun 19 2012 16:12:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
1,Wed Jun 20 2012 21:33:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Wed Jun 20 2012 22:43:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
2,Thu Jun 21 2012 17:34:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
1,Thu Jun 21 2012 19:18:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Thu Jun 21 2012 21:09:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Thu Jun 21 2012 21:18:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
2,Thu Jun 21 2012 23:27:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Jun 22 2012 15:02:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Fri Jun 22 2012 20:40:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
2,Fri Jun 22 2012 21:39:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
3,Fri Jun 22 2012 22:41:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
1,Sat Jun 23 2012 21:35:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
3,Sat Jun 23 2012 22:24:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
1,Sun Jun 24 2012 23:17:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
1,Tue Jun 26 2012 14:50:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
2,Tue Jun 26 2012 17:49:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
3,Tue Jun 26 2012 23:25:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Wed Jun 27 2012 14:45:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
1,Wed Jun 27 2012 20:27:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
6,Thu Jun 28 2012 00:01:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Thu Jun 28 2012 20:08:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
3,Thu Jun 28 2012 21:16:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Thu Jun 28 2012 23:55:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
2,Fri Jun 29 2012 00:44:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
3,Fri Jun 29 2012 16:48:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Jun 29 2012 19:13:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
3,Fri Jun 29 2012 21:12:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Fri Jun 29 2012 22:56:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Sat Jun 30 2012 19:12:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
6,Sun Jul 01 2012 19:41:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
3,Sun Jul 01 2012 22:26:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
3,Mon Jul 02 2012 22:20:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Tue Jul 03 2012 21:40:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
3,Tue Jul 03 2012 21:46:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
3,Wed Jul 04 2012 22:43:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Thu Jul 05 2012 13:59:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Thu Jul 05 2012 19:31:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
3,Thu Jul 05 2012 20:34:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
2,Thu Jul 05 2012 21:30:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Fri Jul 06 2012 00:34:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
3,Fri Jul 06 2012 13:20:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Fri Jul 06 2012 20:21:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
3,Fri Jul 06 2012 20:32:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Fri Jul 06 2012 21:11:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
2,Fri Jul 06 2012 22:55:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Sat Jul 07 2012 00:19:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Sat Jul 07 2012 20:00:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
3,Sun Jul 08 2012 21:30:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Mon Jul 09 2012 20:50:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Mon Jul 09 2012 23:28:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
3,Tue Jul 10 2012 00:58:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
5,Wed Jul 11 2012 17:25:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Wed Jul 11 2012 19:23:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Thu Jul 12 2012 17:55:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
2,Thu Jul 12 2012 18:06:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Jul 12 2012 20:24:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
2,Thu Jul 12 2012 21:41:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Thu Jul 12 2012 21:48:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Fri Jul 13 2012 18:25:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
2,Fri Jul 13 2012 19:29:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
6,Fri Jul 13 2012 19:33:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
6,Fri Jul 13 2012 21:34:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Fri Jul 13 2012 23:59:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
2,Sat Jul 14 2012 17:53:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Sun Jul 15 2012 20:08:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
2,Sun Jul 15 2012 22:43:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Mon Jul 16 2012 23:25:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
2,Tue Jul 17 2012 12:22:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
2,Wed Jul 18 2012 16:18:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Wed Jul 18 2012 20:50:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
2,Thu Jul 19 2012 16:33:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Jul 19 2012 17:38:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Thu Jul 19 2012 19:57:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
2,Thu Jul 19 2012 20:24:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
5,Thu Jul 19 2012 21:30:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Fri Jul 20 2012 12:31:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Fri Jul 20 2012 18:53:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
2,Fri Jul 20 2012 18:54:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
2,Fri Jul 20 2012 20:51:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Fri Jul 20 2012 23:54:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
2,Sat Jul 21 2012 00:47:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
6,Sat Jul 21 2012 22:38:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
6,Mon Jul 23 2012 00:11:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Mon Jul 23 2012 00:22:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Tue Jul 24 2012 00:25:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Tue Jul 24 2012 23:22:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Wed Jul 25 2012 15:44:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Thu Jul 26 2012 13:28:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Jul 26 2012 18:08:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Thu Jul 26 2012 19:05:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Jul 26 2012 21:36:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Thu Jul 26 2012 22:07:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
2,Fri Jul 27 2012 00:37:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Fri Jul 27 2012 16:37:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Fri Jul 27 2012 18:13:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Fri Jul 27 2012 18:44:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Fri Jul 27 2012 20:51:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
4,Fri Jul 27 2012 23:10:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
5,Sat Jul 28 2012 13:12:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
2,Sun Jul 29 2012 00:01:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
2,Mon Jul 30 2012 19:35:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
5,Mon Jul 30 2012 20:06:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Tue Jul 31 2012 00:38:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Wed Aug 01 2012 17:01:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Wed Aug 01 2012 19:44:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
2,Wed Aug 01 2012 21:08:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
6,Thu Aug 02 2012 14:50:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
2,Thu Aug 02 2012 18:35:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Thu Aug 02 2012 20:57:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
2,Thu Aug 02 2012 21:56:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
2,Fri Aug 03 2012 16:11:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Fri Aug 03 2012 17:14:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
4,Fri Aug 03 2012 18:26:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
2,Fri Aug 03 2012 21:04:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
5,Fri Aug 03 2012 21:42:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Fri Aug 03 2012 23:01:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Sat Aug 04 2012 18:36:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Sun Aug 05 2012 00:54:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
5,Sun Aug 05 2012 21:59:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Mon Aug 06 2012 18:13:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Tue Aug 07 2012 00:10:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
5,Tue Aug 07 2012 00:11:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
4,Tue Aug 07 2012 19:19:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Wed Aug 08 2012 15:00:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
6,Wed Aug 08 2012 22:33:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Thu Aug 09 2012 00:57:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Thu Aug 09 2012 20:02:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Thu Aug 09 2012 20:39:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
4,Thu Aug 09 2012 23:40:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
6,Thu Aug 09 2012 23:40:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
2,Fri Aug 10 2012 14:25:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Fri Aug 10 2012 17:17:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Fri Aug 10 2012 20:43:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
2,Fri Aug 10 2012 21:23:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Fri Aug 10 2012 23:41:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
2,Sat Aug 11 2012 20:41:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
6,Sat Aug 11 2012 20:59:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
2,Sun Aug 12 2012 22:38:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Mon Aug 13 2012 20:05:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Mon Aug 13 2012 21:44:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
2,Tue Aug 14 2012 13:50:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Tue Aug 14 2012 21:23:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Wed Aug 15 2012 20:38:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
6,Wed Aug 15 2012 21:04:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
5,Thu Aug 16 2012 18:17:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Thu Aug 16 2012 20:00:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
2,Thu Aug 16 2012 23:03:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
5,Thu Aug 16 2012 23:12:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
6,Fri Aug 17 2012 15:54:00 GMT-0600 (MDT),Red Line,Downtown Brewers,Amber,76.50,3.75
2,Fri Aug 17 2012 17:56:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Fri Aug 17 2012 21:13:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
5,Fri Aug 17 2012 22:39:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
2,Sat Aug 18 2012 00:16:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Sat Aug 18 2012 20:13:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Sun Aug 19 2012 00:19:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
6,Sun Aug 19 2012 21:53:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
5,Mon Aug 20 2012 20:13:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Mon Aug 20 2012 23:36:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Tue Aug 21 2012 23:20:00 GMT-0600 (MDT),City Center IPA,Downtown Brewers,IPA,81.28,3.5
6,Wed Aug 22 2012 18:43:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
6,Thu Aug 23 2012 17:29:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
5,Thu Aug 23 2012 17:30:00 GMT-0600 (MDT),Gone Fishing IPA,Lazy Day LLC,IPA,78.34,3.5
4,Thu Aug 23 2012 19:03:00 GMT-0600 (MDT),Splatz,Big Beer Corp,Light Lager,51.20,3
4,Thu Aug 23 2012 21:54:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
5,Thu Aug 23 2012 22:05:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
6,Fri Aug 24 2012 15:33:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
4,Fri Aug 24 2012 15:50:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Fri Aug 24 2012 20:26:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
4,Fri Aug 24 2012 20:47:00 GMT-0600 (MDT),Ski Traffic IPA,Mile High Beer,IPA,78.96,3.5
6,Fri Aug 24 2012 21:40:00 GMT-0600 (MDT),Sunset Red,Mile High Beer,Amber,76.44,3.75
5,Sat Aug 25 2012 00:03:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Sat Aug 25 2012 17:41:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
2,Sat Aug 25 2012 19:00:00 GMT-0600 (MDT),Peaceful Dream Red,Lazy Day LLC,Amber,80.00,3.75
4,Sun Aug 26 2012 21:12:00 GMT-0600 (MDT),Slow Stroll,Lazy Day LLC,Wheat,70.63,3.5
2,Sun Aug 26 2012 23:51:00 GMT-0600 (MDT),Posers,ABC Brewery,Light Lager,49.05,3
5,Mon Aug 27 2012 16:46:00 GMT-0600 (MDT),Rasberry Pie,Mile High Beer,Fruit,67.05,3.75
2,Mon Aug 27 2012 22:24:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
4,Tue Aug 28 2012 23:20:00 GMT-0600 (MDT),Posers Light,ABC Brewery,Low Calorie Lager,50.88,3
6,Wed Aug 29 2012 23:40:00 GMT-0600 (MDT),Long Slumber,Lazy Day LLC,Stout,87.49,4.5
4,Wed Aug 29 2012 23:42:00 GMT-0600 (MDT),Thin Air Wheat,Mile High Beer,Wheat,71.76,3.5
2,Thu Aug 30 2012 00:28:00 GMT-0600 (MDT),Splatz Light,Big Beer Corp,Low Calorie Lager,50.14,3
2,Thu Aug 30 2012 19:22:00 GMT-0600 (MDT),Stout Street,Downtown Brewers,Stout,88.81,4.5
6,Thu Aug 30 2012 20:52:00 GMT-0600 (MDT),Sour Divide,Mile High Beer,Sour,108.80,5
